Subawardee UEI,Hull,Subawardee Vendor Name,Builder,Predominant SWBS,Assigned $M,Records,First Subaward,Last Subaward,Confidence
XGUEGCF761T9,DDG 114,THE LOUISIANA ASSOCIATION FOR THE BLIND,HII-Ingalls,U00 No SWBS Evidence,,,,,A
H1PAVTLJBJ88,DDG 114,TYCO FIRE PRODUCTS LP,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JFEWJZWTH4W4,DDG 114,The Tool House Inc,HII-Ingalls,U00 No SWBS Evidence,,,,,A
VD5WUGZUCJ44,DDG 114,"Triple Son Wholesale Timber, Inc.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
QEP4TKLKQDV3,DDG 114,"U.S. PIONEER, L.L.C.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
SVHJHMJH65S8,DDG 114,ULTRA ELECTRONICS OCEAN SYSTEMS INC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
LFVJABJDQVZ9,DDG 114,"W. & O. SUPPLY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
YVDFW51N3N61,DDG 114,"WALDO BROTHERS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
LQP7LJVDX6M6,DDG 114,"WESCO DISTRIBUTION, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
J6DMEL935CD1,DDG 114,XYLEM INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZSJFXM833NA3,DDG 114,Xerox Corporation,HII-Ingalls,U00 No SWBS Evidence,,,,,A
E383LRP25MY6,DDG 114,YOUNG ENGINEERING COMPANY INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
SKKACASET588,DDG 117,DYNALEC CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
ZA1KMNAJMVT3,DDG 117,SURFACE TECHNOLOGIES CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
JNC1BUEVV3B9,DDG 117,"JGILS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
J8ATNVMEGLK1,DDG 117,"CHAND, L.L.C.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KNEFNMWXBK39,DDG 117,JO-KELL INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
J3AFGKXWYK73,DDG 117,YORK INTERNATIONAL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
Q35JL9GFCAK3,DDG 117,"MAROTTA CONTROLS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JU2ME5ZK8VL3,DDG 117,"MMC METROLOGY LAB, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
PDZUR2FMYD89,DDG 117,"RANGER ENVIRONMENTAL SERVICES, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
HLVBPCA2LH41,DDG 117,ROLLS-ROYCE MARINE NORTH AMERICA INC.,HII-Ingalls,300 Electric Plant,,,,,B
HNJDANSKDZK9,DDG 117,"SPECTRONICS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
SLTUM1DV4433,DDG 117,"PARASENSE, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JEP5GQGFPUL9,DDG 117,PORTLAND VALVE LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
G15JF2TNVBL6,DDG 117,SIGNET MARITIME CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
WSK3WRSGKAU1,DDG 117,ALFA LAVAL INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
XYNDM1Y7XGG7,DDG 117,AMERICAN METAL BEARING COMPANY,HII-Ingalls,200 Propulsion Plant,,,,,B
CAKCE9S4WL78,DDG 117,"AZTEC GLOBAL SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KAJ2U4MCB329,DDG 117,"CHELSEA CLOCK, LLC, THE",HII-Ingalls,U00 No SWBS Evidence,,,,,B
C1B6X8AADFB1,DDG 117,"COMSACO, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
LSGYNGHKB863,DDG 117,DEBAN ENTERPRISES INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
PGNTKH2XZAN5,DDG 117,"DEFENSE TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
NK1RB5VKXES9,DDG 117,"DETROIT SWITCH, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
GXPHJRVG9MR7,DDG 117,"DRS POWER & CONTROL TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
N6P1AGPMV456,DDG 117,EVAC NORTH AMERICA INC.,HII-Ingalls,500 Auxiliary Systems,,,,,B
CJF6S4UR1LM8,DDG 117,EVOQUA WATER TECHNOLOGIES LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
M4ANYAZ8Q6H8,DDG 117,GEMS SENSORS INC.,HII-Ingalls,500 Auxiliary Systems,,,,,B
ZE1KT2MPBGM3,DDG 117,"HARDING COMPANY, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
RU3QHCAJP492,DDG 117,"HOFFER FLOW CONTROLS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KB8ALFD8K1X8,DDG 117,Higgins Marine Services Inc,HII-Ingalls,U00 No SWBS Evidence,,,,,B
MSSQQ551LG41,DDG 117,"IMPRES TECHNOLOGY SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FLMQAKFEMG64,DDG 117,INDEECO LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
JGLLLKELFB57,DDG 117,ITT CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
R1M8JJH7J5W5,DDG 117,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
M467BSNHK9J8,DDG 117,KATO ENGINEERING INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
ZW3UMG9YVNA9,DDG 117,L-3 COMMUNICATIONS WESTWOOD CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
WPP2ABN6UCF5,DDG 117,"L3 TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KTMAJCY6JXM3,DDG 117,"LEIDOS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
V16LFA3JDR14,DDG 117,Limitorque Corporation,HII-Ingalls,U00 No SWBS Evidence,,,,,B
S3GFGJ1QGAE6,DDG 117,"M.S.M. INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
LCZDJ6YPNYG6,DDG 117,MARTIN ENERGY SERVICES LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
KB45YQR3KSL5,DDG 117,"MISSISSIPPI SECURITY POLICE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
T99DCLB5NRH7,DDG 117,"OCENCO, INCORPORATED",HII-Ingalls,U00 No SWBS Evidence,,,,,B
ELC5EVMWFVM8,DDG 117,OLDENBURG GROUP INCORPORATED,HII-Ingalls,U00 No SWBS Evidence,,,,,B
JAM1MGE5VDJ7,DDG 117,"PACIFIC WESTERN LUMBER, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
DW33W8L3N1P8,DDG 117,"PHOENIX GROUP OF VIRGINIA, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FVFNV3NERP36,DDG 117,"POWERSTAR, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
D44RA79E3K57,DDG 117,"PRECISION PRODUCTS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
V6JXCLR8QR37,DDG 117,RHINESTAHL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
V1MQFNQB56Z5,DDG 117,RIX INDUSTRIES,HII-Ingalls,U00 No SWBS Evidence,,,,,B
GJEXETZX4N96,DDG 117,SHIELD TECHNOLOGIES CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
HNAECT5M9TM4,DDG 117,"SOCAIL, LDA",HII-Ingalls,U00 No SWBS Evidence,,,,,B
CYJ3L6SQANB4,DDG 117,"SPARTON AYDIN, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
RYYRAAAGPXB5,DDG 117,"STOCKERT, LAURA",HII-Ingalls,U00 No SWBS Evidence,,,,,B
CJ8CQLEM2RW3,DDG 117,"SYSCO USA II, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
XGUEGCF761T9,DDG 117,THE LOUISIANA ASSOCIATION FOR THE BLIND,HII-Ingalls,U00 No SWBS Evidence,,,,,B
H1PAVTLJBJ88,DDG 117,TYCO FIRE PRODUCTS LP,HII-Ingalls,U00 No SWBS Evidence,,,,,B
NGE4ALP2M661,DDG 117,"WEAVER SUPPLY COMPANY, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
LQP7LJVDX6M6,DDG 117,"WESCO DISTRIBUTION, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
HMBSX7Z72UK4,DDG 117,"WESTLAND TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
SKKACASET588,DDG 119,DYNALEC CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
KNEFNMWXBK39,DDG 119,JO-KELL INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
JNC1BUEVV3B9,DDG 119,"JGILS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
J8ATNVMEGLK1,DDG 119,"CHAND, L.L.C.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
M467BSNHK9J8,DDG 119,KATO ENGINEERING INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
ELC5EVMWFVM8,DDG 119,"LAKE SHORE SYSTEMS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JU2ME5ZK8VL3,DDG 119,"MMC METROLOGY LAB, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
NBM4G4SAFQM3,DDG 119,"QUALITY PERFORMANCE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
ZA1KMNAJMVT3,DDG 119,SURFACE TECHNOLOGIES CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
WWMME88ERQG5,DDG 119,"BESTWELD, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
Q35JL9GFCAK3,DDG 119,"MAROTTA CONTROLS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
SLTUM1DV4433,DDG 119,"PARASENSE, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
D44RA79E3K57,DDG 119,"PRECISION PRODUCTS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
XK68QNYRQCH8,DDG 119,"AMERICAN BOA, INCORPORATED",HII-Ingalls,U00 No SWBS Evidence,,,,,B
CAKCE9S4WL78,DDG 119,"AZTEC GLOBAL SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FJMAMQK89ZB8,DDG 119,"CAMERON TECHNOLOGIES US, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KAJ2U4MCB329,DDG 119,"CHELSEA CLOCK, LLC, THE",HII-Ingalls,U00 No SWBS Evidence,,,,,B
C1B6X8AADFB1,DDG 119,"COMSACO, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
LSGYNGHKB863,DDG 119,DEBAN ENTERPRISES INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
NK1RB5VKXES9,DDG 119,"DETROIT SWITCH, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FCK2D4PSV1L2,DDG 119,"DOVER ENERGY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
GXPHJRVG9MR7,DDG 119,"DRS POWER & CONTROL TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JRUCKDSNXKD5,DDG 119,"ENTWISTLE COMPANY, THE",HII-Ingalls,U00 No SWBS Evidence,,,,,B
LR2HQKYJLDZ7,DDG 119,ESI ACQUISITION CORP.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
SSD8KRDXKG46,DDG 119,"HILLER COMPANIES, INC., THE",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FMKADN1KAXH6,DDG 119,"HOSE-MCCANN TELEPHONE CO., INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KB8ALFD8K1X8,DDG 119,Higgins Marine Services Inc,HII-Ingalls,U00 No SWBS Evidence,,,,,B
LN9YKAX66918,DDG 119,"KULITE SEMICONDUCTOR PRODUCTS, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
WPP2ABN6UCF5,DDG 119,"L3 TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
QV38GMJUBJQ3,DDG 119,"L3 UNIDYNE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KTMAJCY6JXM3,DDG 119,"LEIDOS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
V16LFA3JDR14,DDG 119,Limitorque Corporation,HII-Ingalls,U00 No SWBS Evidence,,,,,B
KJWPVM8EMCN5,DDG 119,"M2 GLOBAL TECHNOLOGY, LTD.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
QYKAR7MJJXL7,DDG 119,"MEGGITT SAFETY SYSTEMS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JK4WJKLD44G9,DDG 119,"METALTEK INTERNATIONAL, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KB45YQR3KSL5,DDG 119,"MISSISSIPPI SECURITY POLICE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
XECCFU26TTP9,DDG 119,"Moniteq, Inc.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
T99DCLB5NRH7,DDG 119,"OCENCO, INCORPORATED",HII-Ingalls,U00 No SWBS Evidence,,,,,B
N5KMLMXEPFM5,DDG 119,PARKER-HANNIFIN CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
FD69PPCVM2B8,DDG 119,"PASCAGOULA LAUNCH SERVICE, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
DW33W8L3N1P8,DDG 119,"PHOENIX GROUP OF VIRGINIA, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FVFNV3NERP36,DDG 119,"POWERSTAR, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
NE3DARLAMEN6,DDG 119,"PROCESS ENGINEERING COMPANY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
HLVBPCA2LH41,DDG 119,ROLLS-ROYCE MARINE NORTH AMERICA INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
DYJZZ9DANLM3,DDG 119,Ralph & Dorothy Moore,HII-Ingalls,U00 No SWBS Evidence,,,,,B
DKJ1R5ABCN48,DDG 119,SERCO INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
GJEXETZX4N96,DDG 119,SHIELD TECHNOLOGIES CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
G15JF2TNVBL6,DDG 119,SIGNET MARITIME CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
GN82WS7LRJ77,DDG 119,SPACE MACHINE & ENGINEERING CORP.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
CYJ3L6SQANB4,DDG 119,"SPARTON AYDIN, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
HNJDANSKDZK9,DDG 119,"SPECTRONICS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FNQSY3S2MCM9,DDG 119,"STS OPERATING, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
CJ8CQLEM2RW3,DDG 119,"SYSCO USA II, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
SVHJHMJH65S8,DDG 119,ULTRA ELECTRONICS OCEAN SYSTEMS INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
LGVPVLMRHH51,DDG 119,"W. & O. SUPPLY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
J3AFGKXWYK73,DDG 119,York International Corporation,HII-Ingalls,U00 No SWBS Evidence,,,,,B
SKKACASET588,DDG 121,DYNALEC CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
KNEFNMWXBK39,DDG 121,JO-KELL INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
ZW3UMG9YVNA9,DDG 121,L-3 COMMUNICATIONS WESTWOOD CORPORATION,HII-Ingalls,300 Electric Plant,,,,,B
NQKEVF8KEMP1,DDG 121,PIVOTAL POWER INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
WWMME88ERQG5,DDG 121,"BESTWELD, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
G15JF2TNVBL6,DDG 121,SIGNET MARITIME CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
HMBSX7Z72UK4,DDG 121,"WESTLAND TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
CAKCE9S4WL78,DDG 121,"AZTEC GLOBAL SOLUTIONS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
MSYWUDGYPKF5,DDG 121,"CP INDUSTRIES HOLDINGS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JNC1BUEVV3B9,DDG 121,"JGILS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
SLTUM1DV4433,DDG 121,"PARASENSE, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
DW33W8L3N1P8,DDG 121,"PHOENIX GROUP OF VIRGINIA, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
H1PAVTLJBJ88,DDG 121,TYCO FIRE PRODUCTS LP,HII-Ingalls,U00 No SWBS Evidence,,,,,B
XK68QNYRQCH8,DDG 121,"AMERICAN BOA, INCORPORATED",HII-Ingalls,U00 No SWBS Evidence,,,,,B
XYNDM1Y7XGG7,DDG 121,AMERICAN METAL BEARING COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,B
J8ATNVMEGLK1,DDG 121,"CHAND, L.L.C.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KAJ2U4MCB329,DDG 121,"CHELSEA CLOCK, LLC, THE",HII-Ingalls,U00 No SWBS Evidence,,,,,B
C1B6X8AADFB1,DDG 121,"COMSACO, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FECPDA1S8WJ1,DDG 121,D. W. BOYD CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
LSGYNGHKB863,DDG 121,DEBAN ENTERPRISES INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
PGNTKH2XZAN5,DDG 121,"DEFENSE TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
W2GBUE64GMZ6,DDG 121,"DERBYSHIRE MARINE PRODUCTS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
NK1RB5VKXES9,DDG 121,"DETROIT SWITCH, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
GXPHJRVG9MR7,DDG 121,"DRS POWER & CONTROL TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
M4ANYAZ8Q6H8,DDG 121,GEMS SENSORS INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
J1T1FEN3PWX6,DDG 121,GENERAL ELECTRIC COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,B
LX5BF78ZTHW4,DDG 121,"HDT EXPEDITIONARY SYSTEMS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
RU3QHCAJP492,DDG 121,"HOFFER FLOW CONTROLS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FMKADN1KAXH6,DDG 121,"HOSE-MCCANN TELEPHONE CO., INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
R1M8JJH7J5W5,DDG 121,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
M467BSNHK9J8,DDG 121,KATO ENGINEERING INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
RMLGMBGNPCC8,DDG 121,"KINGSBURY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
HEUNPCKQLMN5,DDG 121,KLUMB LUMBER COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,B
LN9YKAX66918,DDG 121,"KULITE SEMICONDUCTOR PRODUCTS, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
WPP2ABN6UCF5,DDG 121,"L3 TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KTMAJCY6JXM3,DDG 121,"LEIDOS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
V16LFA3JDR14,DDG 121,Limitorque Corporation,HII-Ingalls,U00 No SWBS Evidence,,,,,B
KB45YQR3KSL5,DDG 121,"MISSISSIPPI SECURITY POLICE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JU2ME5ZK8VL3,DDG 121,"MMC METROLOGY LAB, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
XECCFU26TTP9,DDG 121,"Moniteq, Inc.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
PQGNEEY9W5M3,DDG 121,NORTHROP GRUMMAN SYSTEMS CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
ELC5EVMWFVM8,DDG 121,OLDENBURG GROUP INCORPORATED,HII-Ingalls,U00 No SWBS Evidence,,,,,B
EV4ZGUNNKMJ6,DDG 121,"PACIFIC SHIP REPAIR & FABRICATION, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FD69PPCVM2B8,DDG 121,"PASCAGOULA LAUNCH SERVICE, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FVFNV3NERP36,DDG 121,"POWERSTAR, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
D44RA79E3K57,DDG 121,"PRECISION PRODUCTS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
NBM4G4SAFQM3,DDG 121,"QUALITY PERFORMANCE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
HLVBPCA2LH41,DDG 121,ROLLS-ROYCE MARINE NORTH AMERICA INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
DYJZZ9DANLM3,DDG 121,Ralph & Dorothy Moore,HII-Ingalls,U00 No SWBS Evidence,,,,,B
QNF5KM7YJSN7,DDG 121,"SOUTHCOAST WELDING & MANUFACTURING, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
CYJ3L6SQANB4,DDG 121,"SPARTON AYDIN, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FNQSY3S2MCM9,DDG 121,"STS OPERATING, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
CJ8CQLEM2RW3,DDG 121,"SYSCO USA II, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
EEJPJ342F3P1,DDG 121,"TABET MANUFACTURING COMPANY, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
JK16ZQ9FRJ51,DDG 121,TAVERNIER DIDIER,HII-Ingalls,U00 No SWBS Evidence,,,,,B
CQQUMMDARBG3,DDG 121,THE DEWEY ELECTRONICS CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
PW9GWUTL4KV5,DDG 121,U S INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
SVHJHMJH65S8,DDG 121,ULTRA ELECTRONICS OCEAN SYSTEMS INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
J3AFGKXWYK73,DDG 121,York International Corporation,HII-Ingalls,U00 No SWBS Evidence,,,,,B
FG19HT8C3MM4,DDG 122,"AMERICAN TRADE GROUP, INC., THE",GD-BIW,n/a (non-HII),,,,,B
SKKACASET588,DDG 123,DYNALEC CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
QNF5KM7YJSN7,DDG 123,"SOUTHCOAST WELDING & MANUFACTURING, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KNEFNMWXBK39,DDG 123,JO-KELL INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
ZW3UMG9YVNA9,DDG 123,L-3 COMMUNICATIONS WESTWOOD CORPORATION,HII-Ingalls,300 Electric Plant,,,,,B
LCYTE2L5JEP4,DDG 123,NAVAL ENGINEERING SUPPORT INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
NBM4G4SAFQM3,DDG 123,"QUALITY PERFORMANCE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
J3AFGKXWYK73,DDG 123,YORK INTERNATIONAL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,B
JNC1BUEVV3B9,DDG 123,"JGILS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
YMKJUADMJN79,DDG 123,"TRI-TEC MANUFACTURING, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
PJRYS7EFXQD9,DDG 123,"B.N.L. INDUSTRIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
WWMME88ERQG5,DDG 123,"BESTWELD, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
GXPHJRVG9MR7,DDG 123,"DRS POWER & CONTROL TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
LR2HQKYJLDZ7,DDG 123,ESI ACQUISITION CORP.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
KKRXVDJZQ5V5,DDG 123,KEYSTONE FIRE PROTECTION CO.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
JU2ME5ZK8VL3,DDG 123,"MMC METROLOGY LAB, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
PW9GWUTL4KV5,DDG 123,U S INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
LM35HWEVUPH3,DDG 123,"ADI TECHNOLOGIES, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
KFP8JR5HL191,DDG 123,ARA SERVICES LLC.,HII-Ingalls,U00 No SWBS Evidence,,,,,B
J8ATNVMEGLK1,DDG 123,"CHAND, L.L.C.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
MMDRDDVELDX8,DDG 123,DANTE VALVE COMPANY INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
W2GBUE64GMZ6,DDG 123,"DERBYSHIRE MARINE PRODUCTS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
FWF8QBPCGLG3,DDG 123,GENERAL TOOL COMPANY,HII-Ingalls,U00 No SWBS Evidence,,,,,B
KLDTZDR12ZB7,DDG 123,JUNIPER ELBOW CO. INC.,HII-Ingalls,100 Hull Structure,,,,,B
LN9YKAX66918,DDG 123,"KULITE SEMICONDUCTOR PRODUCTS, INC",HII-Ingalls,U00 No SWBS Evidence,,,,,B
Q35JL9GFCAK3,DDG 123,"MAROTTA CONTROLS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
LCZDJ6YPNYG6,DDG 123,MARTIN ENERGY SERVICES LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
EV4ZGUNNKMJ6,DDG 123,"PACIFIC SHIP REPAIR & FABRICATION, INC.",HII-Ingalls,100 Hull Structure,,,,,B
NQKEVF8KEMP1,DDG 123,PIVOTAL POWER INC,HII-Ingalls,U00 No SWBS Evidence,,,,,B
XTB5UHKL6VE8,DDG 123,"SEA-TECH PRODUCTS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
HNJDANSKDZK9,DDG 123,"SPECTRONICS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,B
