Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,≤FY12 $M,FY13 $M,FY14 $M,FY15 $M,FY16 $M,FY17 $M,FY18 $M,FY19 $M,FY20 $M,FY21 $M,FY22 $M,FY23 $M,FY24 $M,FY25 $M,FY26 $M,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
T4RCBDVMPVM4,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,MEGGITT PLC,"MEGGITT DEFENSE SYSTEMS, INC.",Domestic,3.526624,14,2018-12-21,2025-02-19,,,,,,,,,,,,,,,,,,,,,
ZJYJB7MBFE56,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,CRANE CO,CRANE PUMPS & SYSTEMS PFT CORP,Domestic,3.499523,19,2013-07-18,2024-12-20,,,,,,,,,,,,,,,,,,,,,
G7SQBKZNPRN4,332312,Fabricated Structural Metal Manufacturing,,,"ACCU-FAB AND CONSTRUCTION, INC.",Domestic,3.448141,9,2021-01-08,2026-03-05,,,,,,,,,,,,,,,,,,,,,
NQKEVF8KEMP1,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,LEONARDO SPA,PIVOTAL POWER INC,Foreign,3.424305,57,2013-07-23,2025-10-28,,,,,,,,,,,,,,,,,,,,"Pivotal Power’s Bedford, Nova Scotia entity makes rugged military power-conversion and power-supply equipment. A Navy award to this exact UEI identifies a shipboard power supply for USS Decatur (DDG-73), providing a concrete DDG-51 application.","https://www.highergov.com/awardee/pivotal-power-inc-10107956/
https://govtribe.com/award/federal-contract-award/purchase-order-n0040624p0230"
GKPGD2F1LKL5,332111,Iron and Steel Forging,,"ELLWOOD GROUP, INC.","ELLWOOD GROUP, INC.",Domestic,3.367507,10,2013-07-29,2018-12-19,,,,,,,,,,,,,,,,,,,,"Despite the workbook label, this UEI resolves to Ellwood City Forge Company, a separate Ellwood plant that makes large open-die forgings, shafts, rotors, and other heavy steel components. I found no public source identifying which DDG-51 forging this site supplied.","https://www.highergov.com/awardee/ellwood-city-forge-company-10003769/
https://www.ellwoodcityforge.com/"
C6C8KS7Y1K76,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,MIDE TECHNOLOGY CORPORATION,MIDE TECHNOLOGY CORPORATION,Domestic,3.286786,27,2013-07-23,2023-03-16,,,,,,,,,,,,,,,,,,,,,
FYS6F3284LN3,,n/a (no SAM record),,VELAN INC,VELAN VALVE CORP.,Domestic,3.232177,23,2022-07-14,2026-03-02,,,,,,,,,,,,,,,,,,,,,
NBM4G4SAFQM3,334419,Other Electronic Component Manufacturing,,"VALKYRIE ENTERPRISES, INC.","QUALITY PERFORMANCE, INC.",Domestic,3.18451,34,2013-08-07,2025-09-26,,,,,,,,,,,,,,,,,,,,,
HMBSX7Z72UK4,326291,Rubber Product Manufacturing for Mechanical Use,,ESCO TECHNOLOGIES INC.,"WESTLAND TECHNOLOGIES, INC.",Domestic,3.105053,26,2013-05-09,2025-09-30,,,,,,,,,,,,,,,,,,,,,
ZU51LS7JZ8L5,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,,"FCX SYSTEMS, INC.",Domestic,3.06547,5,2021-02-15,2025-03-12,,,,,,,,,,,,,,,,,,,,,
JR3NDKLB4BH9,,n/a (no SAM record),,ADVANCED STRUCTURES CORPORATION,PACIFIC MARINE SYSTEMS CORP,Domestic,3.004106,21,2013-04-18,2018-02-08,,,,,,,,,,,,,,,,,,,,,
VGCPT3NSM831,541330,Engineering Services,,"HUNTINGTON INGALLS INDUSTRIES, INC",HII FLEET SUPPORT GROUP LLC,Domestic,2.984258,5,2024-05-27,2025-08-15,,,,,,,,,,,,,,,,,,,,,
LCYTE2L5JEP4,336611,Ship Building and Repairing,,NAVAL ENGINEERING SUPPORT INC,NAVAL ENGINEERING SUPPORT INC.,Domestic,2.940135,13,2023-08-15,2025-11-11,,,,,,,,,,,,,,,,,,,,,
K84MXRVQ8BW5,336611,Ship Building and Repairing,,,"PACIFIC SHIPYARDS INTERNATIONAL, LLC",Domestic,2.8565,1,2024-12-20,2024-12-20,,,,,,,,,,,,,,,,,,,,,
K3URF4HUNQS5,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,"GLOBAL, INCORPORATED",Domestic,2.831269,25,2013-07-17,2021-04-13,,,,,,,,,,,,,,,,,,,,,
JNC1BUEVV3B9,425120,Wholesale Trade Agents and Brokers,,,"JGILS, LLC",Domestic,2.830533,33,2015-12-14,2021-01-14,,,,,,,,,,,,,,,,,,,,,
QEP4TKLKQDV3,334419,Other Electronic Component Manufacturing,,"U.S. PIONEER, L.L.C.","U.S. PIONEER, L.L.C.",Domestic,2.77419,34,2013-08-16,2025-11-25,,,,,,,,,,,,,,,,,,,,,
KH1SMVPKSHY4,541330,Engineering Services,,"GREAT LAKES SOUND & VIBRATION, INC.",GREAT LAKES SOUND & VIBRATION INC,Domestic,2.699504,4,2022-06-28,2024-07-25,,,,,,,,,,,,,,,,,,,,,
VDGQNU1VJC64,332410,Power Boiler and Heat Exchanger Manufacturing,,,XCHANGER MANUFACTURING CORPORATION,Domestic,2.548193,11,2013-07-31,2024-06-20,,,,,,,,,,,,,,,,,,,,,
V32LJNFLKBT7,,"n/a (SAM record, no NAICS)",,ONEX CORP,RFD BEAUFORT INC.,Domestic,2.531538,10,2014-01-24,2025-08-20,,,,,,,,,,,,,,,,,,,,,
EZVMH8VEGL34,333912,Air and Gas Compressor Manufacturing,,"BAUER COMPRESSORS, INC.","BAUER COMPRESSORS, INC.",Domestic,2.413922,13,2013-07-31,2024-05-16,,,,,,,,,,,,,,,,,,,,,
EANJVKFHMSZ8,423710,Hardware Merchant Wholesalers,,"GULF FASTENER, INC.","GULF FASTENER, INC.",Domestic,2.372757,6,2021-01-08,2023-10-19,,,,,,,,,,,,,,,,,,,,,
J8ATNVMEGLK1,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,"BOLLINGER SHIPYARDS, INC","CHAND, L.L.C.",Domestic,2.225303,31,2015-12-14,2026-03-06,,,,,,,,,,,,,,,,,,,,,
S3GFGJ1QGAE6,326291,Rubber Product Manufacturing for Mechanical Use,,,"M.S.M. INDUSTRIES, INC.",Domestic,2.214337,17,2013-09-18,2023-11-27,,,,,,,,,,,,,,,,,,,,,
VJHFDLA3NLG8,331513,Steel Foundries (except Investment),,"HITACHI, LTD.",BRADKEN INC,Domestic,2.20256,6,2023-12-22,2025-04-01,,,,,,,,,,,,,,,,,,,,,
ZMBFGXHLGLM3,336611,Ship Building and Repairing,,BAE SYSTEMS PLC,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,Domestic,1.993771,13,2018-01-16,2019-02-18,,,,,,,,,,,,,,,,,,,,,
RLXQHCXFT513,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,Citadel Capital Corporation,CUNICO CORPORATION,Domestic,1.923462,16,2013-08-20,2025-09-17,,,,,,,,,,,,,,,,,,,,,
JGNYLKEPEBL4,332312,Fabricated Structural Metal Manufacturing,,,"PEMCO-NAVAL ENGINEERING WORKS, INC.",Domestic,1.893616,40,2013-07-26,2025-12-16,,,,,,,,,,,,,,,,,,,,,
DV6YQV71ME11,,n/a (no SAM record),,,Mar-Vac Products Inc,Domestic,1.85232,25,2014-06-06,2021-12-07,,,,,,,,,,,,,,,,,,,,,
DW33W8L3N1P8,541330,Engineering Services,,,"PHOENIX GROUP OF VIRGINIA, INC.",Domestic,1.818588,9,2017-03-29,2022-07-20,,,,,,,,,,,,,,,,,,,,,
UTWXQFNH47D5,,n/a (no SAM record),,MEGGITT PLC,"MEGGITT (NORTH HOLLYWOOD), INC.",Domestic,1.771119,6,2013-07-31,2016-11-07,,,,,,,,,,,,,,,,,,,,,
CXZ9PUEZ5SQ7,337127,Institutional Furniture Manufacturing,,"STANLEY BLACK & DECKER, INC.",BLACK & DECKER (U.S.) INC.,Domestic,1.744466,8,2013-09-17,2025-10-01,,,,,,,,,,,,,,,,,,,,,
CJF6S4UR1LM8,221310,Water Supply and Irrigation Systems,,Evoqua Water Technologies Corp.,EVOQUA WATER TECHNOLOGIES LLC,Domestic,1.664441,13,2014-06-19,2020-10-01,,,,,,,,,,,,,,,,,,,,,
M8ZHL8ZXGQP5,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,,"Irving Place Capital, LLC","CHROMALOX, INC.",Domestic,1.628097,14,2013-04-15,2022-06-30,,,,,,,,,,,,,,,,,,,,,
CAKCE9S4WL78,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,"AZTEC GLOBAL SOLUTIONS, INC.","AZTEC GLOBAL SOLUTIONS, INC.",Domestic,1.611323,28,2015-08-06,2026-03-06,,,,,,,,,,,,,,,,,,,,,
DJG7NEG7QRK5,332911,Industrial Valve Manufacturing,,"HUNT VALVE COMPANY, INC.","HUNT VALVE COMPANY, INC.",Domestic,1.581748,16,2013-04-17,2021-12-07,,,,,,,,,,,,,,,,,,,,,
G15JF2TNVBL6,336611,Ship Building and Repairing,,SIGNET MARITIME CORPORATION,SIGNET MARITIME CORPORATION,Domestic,1.567993,13,2015-03-26,2021-12-14,,,,,,,,,,,,,,,,,,,,,
P4XPJNTCHB68,331513,Steel Foundries (except Investment),,SCHOELLHORN - ALBRECHT MACHINE CO INC,SCHOELLHORN - ALBRECHT MACHINE CO INC,Domestic,1.54923,19,2016-08-11,2025-10-16,,,,,,,,,,,,,,,,,,,,,
YD6LTFVUZNG1,541512,Computer Systems Design Services,,RAYTHEON TECHNOLOGIES CORPORATION,RAYTHEON COMPANY,Domestic,1.518594,4,2022-11-22,2023-07-26,,,,,,,,,,,,,,,,,,,,,
KB45YQR3KSL5,561612,Security Guards and Patrol Services,,MISSISSIPPI SECURITY POLICE INC,"MISSISSIPPI SECURITY POLICE, INC.",Domestic,1.476686,4,2018-12-12,2023-06-23,,,,,,,,,,,,,,,,,,,,,
FJMAMQK89ZB8,,n/a (no SAM record),,Schlumberger N.V.,"CAMERON TECHNOLOGIES US, INC.",Domestic,1.465661,9,2013-08-01,2022-01-20,,,,,,,,,,,,,,,,,,,,,
JK4WJKLD44G9,331529,Other Nonferrous Metal Foundries (except Die-Casting),,"METALTEK INTERNATIONAL, INC.","METALTEK INTERNATIONAL, INC.",Domestic,1.44076,17,2013-07-24,2025-11-26,,,,,,,,,,,,,,,,,,,,,
G9N1X873CYJ6,332991,Ball and Roller Bearing Manufacturing,,"TIMKEN COMPANY, THE",THE TIMKEN COMPANY,Domestic,1.422965,8,2014-01-22,2025-12-01,,,,,,,,,,,,,,,,,,,,,
KHK8QYLFGLU1,541330,Engineering Services,,ROLLS-ROYCE HOLDINGS PLC,Rolls-Royce Corporation,Domestic,1.422352,4,2025-05-14,2026-05-27,,,,,,,,,,,,,,,,,,,,"The Indianapolis Rolls-Royce Corporation entity supplies the gas-turbine prime movers used in DDG-51 ship-service generator sets: the 501-K34 in the AG9140 and the MT5S in the Flight III AG9160. This is the engine-manufacturing role, distinct from Walpole’s propeller/propulsor work.","https://www.rolls-royce.com/media/our-stories/discover/2017/power-surge-ag9160.aspx
https://www.rolls-royce.com/media/our-stories/discover/2022/celebrating-50-years-of-delivering-marine-gas-turbine-generators.aspx"
VXJMLWN9XU18,,n/a (no SAM record),,"HITACHI, LTD.","BRADKEN - ATLAS, LLC",Domestic,1.41471,12,2013-07-22,2017-09-20,,,,,,,,,,,,,,,,,,,,,
WWMME88ERQG5,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,BESTWELD INC,"BESTWELD, INC.",Domestic,1.310222,21,2013-11-14,2025-09-04,,,,,,,,,,,,,,,,,,,,,
FUNJJEK23XN5,423840,Industrial Supplies Merchant Wholesalers,,"TCH DISTRIBUTORS, LLC","TCH DISTRIBUTORS, LLC",Domestic,1.294093,21,2022-07-12,2025-11-25,,,,,,,,,,,,,,,,,,,,,
DQLZFV6PFCB9,332911,Industrial Valve Manufacturing,,"TATE ANDALE, LLC","TATE ANDALE, LLC",Domestic,1.278692,20,2013-09-20,2025-07-08,,,,,,,,,,,,,,,,,,,,,
XFM4VGW1NBE4,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",,"L.C.DOANE COMPANY,THE","L.C.DOANE COMPANY,THE",Domestic,1.27488,2,2021-04-14,2022-05-10,,,,,,,,,,,,,,,,,,,,,
MSYWUDGYPKF5,332420,Metal Tank (Heavy Gauge) Manufacturing,,EVEREST KANTO CYLINDER LIMITED,"CP INDUSTRIES HOLDINGS, INC.",Domestic,1.195164,23,2014-05-02,2026-01-13,,,,,,,,,,,,,,,,,,,,,
YMKJUADMJN79,332911,Industrial Valve Manufacturing,,"TRI-TEC MANUFACTURING, LLC","TRI-TEC MANUFACTURING, LLC",Domestic,1.182173,12,2013-12-17,2023-06-19,,,,,,,,,,,,,,,,,,,,,
PW9GWUTL4KV5,336611,Ship Building and Repairing,,"Us, Inc.","Us, Inc.",Domestic,1.170233,19,2016-08-24,2025-12-02,,,,,,,,,,,,,,,,,,,,,
F98TZC6J5XV1,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,,"ARC TECHNOLOGIES, INC.",ARC TECHNOLOGIES LLC,Domestic,1.164465,10,2015-07-01,2023-07-18,,,,,,,,,,,,,,,,,,,,,
LG8PRS9MR697,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,SFC Valve Corporation,Domestic,1.048864,8,2024-08-06,2025-06-18,,,,,,,,,,,,,,,,,,,,,
J7JJKMJGC7K1,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,"NAC GROUP, INC.","NAC GROUP, INC.",Domestic,1.020441,15,2019-01-25,2025-12-19,,,,,,,,,,,,,,,,,,,,,
ZFN2JJXBLZT3,336411,Aircraft Manufacturing,,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,Domestic,1.001141,8,2018-07-02,2020-05-20,,,,,,,,,,,,,,,,,,,,,
D9T3VK42BLV7,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,,"MILWAUKEE COMPOSITES, INC.",Domestic,0.967904,5,2023-06-27,2025-06-20,,,,,,,,,,,,,,,,,,,,,
HNJDANSKDZK9,,"n/a (SAM record, no NAICS)",,"Spectronics, Inc.","SPECTRONICS, INC.",Domestic,0.935412,23,2015-12-14,2025-09-11,,,,,,,,,,,,,,,,,,,,,
M467BSNHK9J8,335312,Motor and Generator Manufacturing,,EMERSON ELECTRIC CO.,KATO ENGINEERING INC.,Domestic,0.91909,5,2016-04-15,2017-06-08,,,,,,,,,,,,,,,,,,,,,
LRYRHNM7EHJ8,332322,Sheet Metal Work Manufacturing,,ILLINOIS TOOL WORKS INC.,"GAYLORD INDUSTRIES, INC.",Domestic,0.899879,9,2014-03-24,2025-10-03,,,,,,,,,,,,,,,,,,,,,
MHR1KKAZ1NH5,333310,Commercial and Service Industry Machinery Manufacturing,,,"EDRO CORPORATION, THE",Domestic,0.892991,16,2013-04-18,2021-01-26,,,,,,,,,,,,,,,,,,,,,
W2H3SYSJNLK5,,n/a (no SAM record),,,Arastaff,Domestic,0.845608,10,2015-08-06,2017-08-18,,,,,,,,,,,,,,,,,,,,,
C1NAJQ34VWM5,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,CAMERON ENERGY SERVICES CORP.,Domestic,0.820129,5,2023-02-18,2025-09-12,,,,,,,,,,,,,,,,,,,,,
JK16ZQ9FRJ51,,"n/a (foreign, no SAM record)",,,TAVERNIER DIDIER,Foreign,0.819738,8,2013-07-19,2020-06-17,,,,,,,,,,,,,,,,,,,,,
CBMZJ3Z5SC89,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,RAYTHEON TECHNOLOGIES CORPORATION,GOODRICH CORPORATION,Domestic,0.815528,20,2018-02-01,2025-11-25,,,,,,,,,,,,,,,,,,,,,
NL7RNBHWHJQ1,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,LEONARDO SPA,DRS TECHNOLOGIES CANADA LTD,Foreign,0.794193,15,2018-05-28,2023-06-22,,,,,,,,,,,,,,,,,,,,"DRS Technologies Canada in Ottawa produces naval communications equipment such as secure shipboard terminals, telephones, headsets, and associated electronics. Public award data supports those product lines for this UEI, but the exact DDG-51 installation represented by the subaward is not disclosed.","https://www.highergov.com/awardee/drs-technologies-canada-ltd-10111589/
https://spendingvault.com/recipients/NL7RNBHWHJQ1/"
W2GBUE64GMZ6,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,"DERBYSHIRE MARINE PRODUCTS, LLC",Domestic,0.792744,16,2013-08-12,2017-05-17,,,,,,,,,,,,,,,,,,,,,
JKPCAKFW8X93,,"n/a (SAM record, no NAICS)",,"HITACHI, LTD.",AMERICAST TECHNOLOGIES INC,Domestic,0.78714,7,2013-07-12,2016-04-07,,,,,,,,,,,,,,,,,,,,,
NJBMT6E7P7B4,332312,Fabricated Structural Metal Manufacturing,,INTERNATIONAL WELDING & FABRICATION INC,INTERNATIONAL WELDING & FABRICATION INC.,Domestic,0.7784,2,2023-02-07,2026-03-06,,,,,,,,,,,,,,,,,,,,,
DKJ1R5ABCN48,541990,"All Other Professional, Scientific, and Technical Services",,SERCO GROUP PLC,SERCO INC.,Domestic,0.77453,7,2019-10-02,2021-02-19,,,,,,,,,,,,,,,,,,,,,
FWF8QBPCGLG3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,,GENERAL TOOL COMPANY,GENERAL TOOL COMPANY,Domestic,0.750871,9,2017-11-01,2025-02-20,,,,,,,,,,,,,,,,,,,,,
T99DCLB5NRH7,332911,Industrial Valve Manufacturing,,"OCENCO, INCORPORATED","OCENCO, INCORPORATED",Domestic,0.7364,3,2016-12-22,2018-05-15,,,,,,,,,,,,,,,,,,,,,
PDZUR2FMYD89,562910,Remediation Services,,RANGER ENVIRONMENTAL SERVICES LLC,"RANGER ENVIRONMENTAL SERVICES, LLC",Domestic,0.727624,9,2018-05-10,2026-01-19,,,,,,,,,,,,,,,,,,,,,
MYJHF1S2HGV5,336611,Ship Building and Repairing,,EPSILON C5I INC,"EPSILON SYSTEMS SOLUTIONS, INC.",Domestic,0.720723,14,2017-05-09,2025-09-23,,,,,,,,,,,,,,,,,,,,,
KK9FFUUML8N1,238320,Painting and Wall Covering Contractors,,,ABC APPLICATORS INC,Domestic,0.710792,3,2023-10-06,2024-03-04,,,,,,,,,,,,,,,,,,,,,
REXPSJ7NAHU8,332919,Other Metal Valve and Pipe Fitting Manufacturing,,DERBYSHIRE MACHINE & TOOL CO,DERBYSHIRE MACHINE & TOOL CO,Domestic,0.70153,9,2013-09-10,2019-07-03,,,,,,,,,,,,,,,,,,,,,
LQP7LJVDX6M6,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,"WESCO INTERNATIONAL, INC.","WESCO DISTRIBUTION, INC.",Domestic,0.6961,9,2015-06-16,2021-07-01,,,,,,,,,,,,,,,,,,,,,
WPP2ABN6UCF5,334290,Other Communications Equipment Manufacturing,,"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",Domestic,0.689788,9,2013-04-05,2017-09-27,,,,,,,,,,,,,,,,,,,,"This UEI is L3Harris Henschel’s Norfolk ship-control business. It supplies machinery-control and monitoring equipment—operator consoles, control panels, alarms, and associated shipboard control electronics—for naval vessels; public sources do not itemize the exact DDG-51 cabinet or console in this subaward.","https://app.g2xchange.com/companies/WPP2ABN6UCF5
https://www.highergov.com/awardee/l3-technologies-inc-10107051/
https://www.l3harris.com/all-capabilities/ship-control-systems"
WAK3LFCLKJR4,332312,Fabricated Structural Metal Manufacturing,,BELL STEEL COMPANY,BELL STEEL COMPANY,Domestic,0.689171,10,2015-06-08,2023-09-20,,,,,,,,,,,,,,,,,,,,,
QV38GMJUBJQ3,336611,Ship Building and Repairing,,"L3HARRIS TECHNOLOGIES, INC",L3HARRIS MARITIME SERVICES INC,Domestic,0.685368,6,2021-02-09,2025-10-07,,,,,,,,,,,,,,,,,,,,"L3Harris Maritime Services in Norfolk provides shipyard production labor and installation services, including welding, pipefitting, shipfitting, blasting/painting, and equipment installation. Public sources do not disclose the exact DDG-51 work package, but this is a hands-on construction/service role rather than an equipment-manufacturing role.",https://www.highergov.com/awardee/l3harris-maritime-services-inc-10111066/
TMDVSPNEFR69,423840,Industrial Supplies Merchant Wholesalers,,"Ives Equipment, LLC","Ives Equipment, LLC",Domestic,0.684723,6,2023-07-03,2026-01-23,,,,,,,,,,,,,,,,,,,,,
N9DVRB18H324,332111,Iron and Steel Forging,,,ELLWOOD CITY FORGE COMPANY,Domestic,0.680431,2,2022-09-22,2024-03-06,,,,,,,,,,,,,,,,,,,,Supplies DDG-51 propulsion shaft forgings/shaft components. A public subaward source associates Ellwood National Forge with DDG FY23-27 work and a forward propulsion-shaft description; Ellwood National Forge capabilities cover large open-die forgings for naval/defense applications.,https://www.highergov.com/subcontract/N0002423C2307-1296525-1/; https://www.ellwoodnationalforge.com/capabilities/forging/; https://www.timesobserver.com/news/local-news/2019/09/ellwoods-evolution/; https://www.ellwoodgroup.com/
GKN9NW23L2L9,332919,Other Metal Valve and Pipe Fitting Manufacturing,,"HYSPAN PRECISION PRODUCTS, INC.","HYSPAN PRECISION PRODUCTS, INC.",Domestic,0.674381,10,2013-04-25,2025-10-22,,,,,,,,,,,,,,,,,,,,,
KTMAJCY6JXM3,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,"LEIDOS HOLDINGS, INC.","LEIDOS, INC.",Domestic,0.668772,6,2013-10-23,2017-06-12,,,,,,,,,,,,,,,,,,,,,
CJ8CQLEM2RW3,424410,General Line Grocery Merchant Wholesalers,,SYSCO CORPORATION,"SYSCO USA II, LLC",Domestic,0.646242,6,2015-11-18,2025-01-10,,,,,,,,,,,,,,,,,,,,,
V16LFA3JDR14,,n/a (no SAM record),,,Limitorque Corporation,Domestic,0.639463,8,2015-02-03,2021-08-09,,,,,,,,,,,,,,,,,,,,,
LN9YKAX66918,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,,"KULITE SEMICONDUCTOR PRODUCTS, INC","KULITE SEMICONDUCTOR PRODUCTS, INC",Domestic,0.636108,15,2016-05-16,2023-06-29,,,,,,,,,,,,,,,,,,,,,
YHGHMGTME7A5,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,"CHART INDUSTRIES, INC",HOWDEN AMERICAN FAN COMPANY,Domestic,0.604454,7,2023-12-20,2026-03-06,,,,,,,,,,,,,,,,,,,,,
XK8VBJ94L4E9,332912,Fluid Power Valve and Hose Fitting Manufacturing,,"AEROSPACE SUPPLY, INC","AEROSPACE SUPPLY, INC",Domestic,0.59074,7,2019-06-20,2025-10-08,,,,,,,,,,,,,,,,,,,,,
C4C1WKKFJ8H5,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,,,ENERGY RENTAL SOLUTIONS LLC,Domestic,0.588737,7,2024-08-14,2026-02-25,,,,,,,,,,,,,,,,,,,,,
VD5WUGZUCJ44,,n/a (no SAM record),,,"Triple Son Wholesale Timber, Inc.",Domestic,0.575435,6,2013-10-21,2021-07-26,,,,,,,,,,,,,,,,,,,,,
JFEWJZWTH4W4,423830,Industrial Machinery and Equipment Merchant Wholesalers,,The Tool House Inc,The Tool House Inc,Domestic,0.571515,5,2014-03-24,2015-12-17,,,,,,,,,,,,,,,,,,,,,
SLTUM1DV4433,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",,PARASENSE LIMITED,"PARASENSE, INC",Domestic,0.568141,11,2014-10-28,2021-01-12,,,,,,,,,,,,,,,,,,,,,
FRJQGQHDX4J3,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,"L3HARRIS TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",Domestic,0.567052,2,2021-08-11,2021-12-09,,,,,,,,,,,,,,,,,,,,"This UEI is L3’s Communications Systems-West operation in Salt Lake City, a manufacturer of secure tactical communications electronics. I found no public evidence identifying a distinct DDG-51 construction item supplied by this entity.","https://www.highergov.com/awardee/l3-technologies-inc-10111681/
https://www.l3harris.com/all-capabilities/tactical-communications"
JU7ZGUDEJA79,332322,Sheet Metal Work Manufacturing,,,RAILWAY SPECIALTIES CORPORATION,Domestic,0.56473,4,2019-11-20,2021-05-20,,,,,,,,,,,,,,,,,,,,,
H11HD5VHGHN3,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,Lockheed Martin Corporation,Lockheed Martin Corporation,Domestic,0.550909,1,2025-05-27,2025-05-27,,,,,,,,,,,,,,,,,,,,,
N5RJW5NX32Y1,541330,Engineering Services,,W R SYSTEMS LTD.,W R SYSTEMS LTD.,Domestic,0.539713,5,2013-07-22,2015-04-24,,,,,,,,,,,,,,,,,,,,,
NGE4ALP2M661,423840,Industrial Supplies Merchant Wholesalers,,,"WEAVER SUPPLY COMPANY, LLC",Domestic,0.529469,14,2013-07-03,2021-05-31,,,,,,,,,,,,,,,,,,,,,
RYRLL49HWN65,332322,Sheet Metal Work Manufacturing,,,BAKER SHEET METAL CORPORATION,Domestic,0.527324,6,2013-06-19,2022-01-04,,,,,,,,,,,,,,,,,,,,,
UWH5HRSJ5ES7,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",,,AUTOMATIC COATING LIMITED,Foreign,0.521075,2,2015-10-01,2016-07-12,,,,,,,,,,,,,,,,,,,,,
TKE2CB4A5YW4,334519,Other Measuring and Controlling Device Manufacturing,,HONEYWELL INTERNATIONAL INC.,HONEYWELL INTERNATIONAL INC.,Domestic,0.516035,7,2022-07-07,2024-08-27,,,,,,,,,,,,,,,,,,,,,
MKGCWL2DHBT4,335929,Other Communication and Energy Wire Manufacturing,,MARINE TECH WIRE & CABLE INC,MARINE TECH WIRE & CABLE INC,Domestic,0.51037,2,2022-09-26,2024-09-23,,,,,,,,,,,,,,,,,,,,,
XK68QNYRQCH8,332919,Other Metal Valve and Pipe Fitting Manufacturing,,AEA Europe Fund L.P.,"AMERICAN BOA, INCORPORATED",Domestic,0.50937,6,2013-12-11,2019-07-12,,,,,,,,,,,,,,,,,,,,,
M6ZTA4NZGLQ5,332710,Machine Shops,,,"ANDERSON METAL INDUSTRIES, INC.",Domestic,0.504964,13,2013-07-26,2025-10-28,,,,,,,,,,,,,,,,,,,,,
CW48SQ7KJX68,336611,Ship Building and Repairing,,"CRAFT MACHINE WORKS, INC.","CRAFT MACHINE WORKS, INC.",Domestic,0.501094,1,2013-09-25,2013-09-25,,,,,,,,,,,,,,,,,,,,,
XGUEGCF761T9,327910,Abrasive Product Manufacturing,,THE LOUISIANA ASSOCIATION FOR THE BLIND,THE LOUISIANA ASSOCIATION FOR THE BLIND,Domestic,0.485851,7,2016-02-23,2021-06-08,,,,,,,,,,,,,,,,,,,,,
LX5BF78ZTHW4,,n/a (no SAM record),,"Hdt Global, Inc.","HDT EXPEDITIONARY SYSTEMS, INC.",Domestic,0.48517,8,2013-08-07,2021-03-25,,,,,,,,,,,,,,,,,,,,,
EEJPJ342F3P1,332322,Sheet Metal Work Manufacturing,,TABET MANUFACTURING CO INC,"TABET MANUFACTURING COMPANY, INC.",Domestic,0.47586,7,2020-01-31,2023-03-10,,,,,,,,,,,,,,,,,,,,,
