Key,Program,Subawardee UEI,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description,Parent UEI,Parent Vendor Name,Parent UEI(s),Role / Description,Source URLs
DDG|HLFDNJU7KXJ1,DDG,HLFDNJU7KXJ1,BOGUE SYSTEMS INC.,335311,"Power, Distribution, and Specialty Transformer Manufacturing",JCBMC726D155,BOGUE SYSTEMS INC,JCBMC726D155,"Supplies automatic transfer-switch/power-control assemblies and electronic modules for shipboard electrical distribution. DDG subawards are documented, and Bogue ATS-4100 modules are publicly cataloged; the exact model purchased under the cited DDG line is not disclosed.","https://www.highergov.com/subcontract/N0002423C2307-3899-0/
https://www.highergov.com/subcontract/N0002418C2307-11288-0/
https://www.parttarget.com/5963-01-583-7997_5963015837997_DG-0216-01-REV-B---ATS-4100-M.html"
DDG|LCZDJ6YPNYG6,DDG,LCZDJ6YPNYG6,MARTIN ENERGY SERVICES LLC,424710,Petroleum Bulk Stations and Terminals,CNNMP74968J4,Martin Resource Management Corporation,CNNMP74968J4,"Provided fuel for DDG-125 construction, testing, and/or sea-trial support; the subcontract description explicitly identifies fuel for the ship.",https://www.highergov.com/subcontract/N0002413C2307-1274379-1/
DDG|ELC5EVMWFVM8,DDG,ELC5EVMWFVM8,"LAKE SHORE SYSTEMS, INC.",336611,Ship Building and Repairing,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",DXR3SWEY1895; YELYMYLF82L9,"Supplies deck-machinery hardware, including the emergency quick-disconnect switch and weldment handle for the DDG-51 slewing-arm davit (SLAD).","https://www.cleat.ai/government/contracts/uss-alreigh-burke-slad-switch-nuft
https://www.highergov.com/subcontract/N0002423C2307-14715-0/"
DDG|V8HGGNTGDH59,DDG,V8HGGNTGDH59,PEERLESS MFG CO,332312,Fabricated Structural Metal Manufacturing,VBRHLB2HLEM4,CECO ENVIRONMENTAL CORP,UGDKT5KQLFP5; VBRHLB2HLEM4,"Supplies air-moisture separation and filtration systems for DDG-51 gas-turbine air intakes, removing water droplets and contaminants before air enters the engines.","https://www.globenewswire.com/news-release/2012/09/18/491345/10774/en/pmfg-inc-parent-of-peerless-mfg-co-notice-of-award-valued-at-13-7-million-to-supply-air-moisture-separation-and-filtration-systems-to-u-s-navy.html
https://www.highergov.com/subcontract/N0002423C2307-14290-0/"
DDG|LGL1LNBH8KM5,DDG,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",332911,Industrial Valve Manufacturing,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",LGL1LNBH8KM5,"Supplies Cla-Val automatic-control, pressure-reducing, and solenoid valve assemblies/components for DDG-51 fluid systems. Public item records identify Griswold/Cla-Val valve parts with the Arleigh Burke class as an end item, but the exact valve model in this subaward is not public.","https://www.parttarget.com/Griswold-Industries-Co_nsn-parts_88344-09J_V6105A.html
https://www.wbparts.com/rfq/4810-01-138-1943.html
https://www.parttarget.com/4820-01-193-7762_4820011937762_91584-01.html"
DDG|QNEXJLA47BM4,DDG,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",336611,Ship Building and Repairing,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",QNEXJLA47BM4,"Supplies marine-interior/joiner outfitting—steel/aluminum furniture, accommodation fittings, and related interior packages. A NIST shipbuilding-industry report identifies Jamestown as a marine-interiors outfitter, but public sources do not enumerate the exact items in this DDG subaward.",https://www.nist.gov/document/report02-5pdf
DDG|DWUHNL9BC3U7,DDG,DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",DWUHNL9BC3U7,"Supplies Model 6995 low-pressure membrane compressed-air dehydrators selected for DDG-51 new construction and Model 7600 ECOLCELL electrochemical anti-fouling chlorinators, class-standard beginning with DDG-103.","https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/1.pdf
https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/63.pdf"
DDG|KLDTZDR12ZB7,DDG,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,332322,Sheet Metal Work Manufacturing,KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,KLDTZDR12ZB7,"Juniper manufactures Navy watertight, ballistic, and weathertight doors, hatches, scuttles/manholes, plus marine-ventilation components. Public sources reviewed do not identify which of these products was supplied under this DDG-51 subaward.","https://www.juniperindustries.com/
https://govtribe.com/vendors/juniper-elbow-co-dot-inc-dot-juniper-industries-97537"
DDG|H4ZMPGLLZ8D9,DDG,H4ZMPGLLZ8D9,ARTCRAFT FABRICATORS INC,332710,Machine Shops,H4ZMPGLLZ8D9,ARTCRAFT FABRICATORS INC,H4ZMPGLLZ8D9,"Manufactures and repairs waterborne-propulsion shafting—propeller shafts, intermediate shafts, and stern-tube shafts—for DDG-51 ships.","https://govtribe.com/vendors/artcraft-fabricators-inc-dot-collins-machine-works-3g600
https://www.highergov.com/awardee/art-craft-fabricators-inc-10011917/"
DDG|ENNXJDZUYCK3,DDG,ENNXJDZUYCK3,MARMON AEROSPACE & DEFENSE LLC,335929,Other Communication and Energy Wire Manufacturing,UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,UU26FKF1MML6,"Supplies low-smoke, flame-retardant shipboard electrical/fiber-optic cable and cable assemblies under the RSCC/Marmon brands. A DDG-51 construction subcontract is documented, but public records do not disclose the exact cable type or quantity.","https://www.highergov.com/awardee/marmon-aerospace-defense-llc-10430473/
https://kitcofiberoptics.com/"
DDG|KYURG7LRSC89,DDG,KYURG7LRSC89,CIRCOR NAVAL SOLUTIONS LLC,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",GU5YDKH7GPF1,KKR & CO INC,GU5YDKH7GPF1; L8T4R3N7ACL6,Supplies naval pumps and pump replacement/aftermarket components from the Warren and IMO product families for DDG-51 fluid systems. CIRCOR’s Warren/Simsite page explicitly lists DDG-51 among supported applications; the exact subaward pump model is not public.,"https://www.warrenpumps.com/aftermarket/simsite.htm
https://www.circor.com/"
DDG|FLMQAKFEMG64,DDG,FLMQAKFEMG64,INDEECO LLC,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,DTCND1MN7J15,ASPEQ HEATING GROUP LLC,DTCND1MN7J15,Supplies fuel immersion/flange heaters and associated temperature-sensing/control hardware for DDG-51. Public NSN data identifies an INDEECO thermocouple used on the class’s fuel immersion-flange heater.,"https://www.lqlite.com/NSN/6685-01-466-3185
https://indeeco.com/products/industrial/specialty-heating/marine-heating/fluid-heating-equipment/"
DDG|DQ35GXAUTW61,DDG,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,238320,Painting and Wall Covering Contractors,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,DQ35GXAUTW61,"Performs abrasive blasting, surface preparation, and protective marine coating/painting on DDG construction. Public sources confirm its naval preservation/coatings capability, but the exact DDG compartment or coating system in the listed subaward is not disclosed.","https://industrialcorrosion.com/
https://industrialcorrosion.com/about-us/
https://govtribe.com/vendors/industrial-corrosion-control-inc-dot-icci-08aa4"
DDG|N6P1AGPMV456,DDG,N6P1AGPMV456,EVAC NORTH AMERICA INC.,333310,Commercial and Service Industry Machinery Manufacturing,XJXYXCZL36Z4,The Carlyle Group L P,D5NGX38L5EC9; K48HS3521BC4; XJXYXCZL36Z4,"Supplies shock-resistant vacuum toilets, flush units, blackwater collection equipment, and sewage-pumping hardware for DDG-51 sanitary systems.","https://evac.com/products/evac-special-vacuum-toilets/
https://www.parttarget.com/4140-01-412-1563_4140014121563_7250019-002.html
https://www.wbparts.com/rfq/4720-01-463-1797.html"
DDG|ZA1KMNAJMVT3,DDG,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,336611,Ship Building and Repairing,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,ZA1KMNAJMVT3,Supplies and installs interior deck coverings/flooring on DDG-51 ships; a DDG construction subcontract is explicitly described as “deck covering.”,"https://www.highergov.com/subcontract/N0002413C2307-1074530-4/
https://govtribe.com/award/federal-contract-award/delivery-order-n4008423d0409-n6275826f0029"
DDG|TSCZLHCGNQ53,DDG,TSCZLHCGNQ53,FACET (OKLAHOMA) LLC,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,SFBKKM3ZYN48,FILTRATION GROUP CORPORATION,MJ8MWHZFKJT8; SFBKKM3ZYN48,"The DDG-128 subaward is a rebuy under ES012 11250, but public records do not identify the component. Facet/Filtration Group makes fuel-filtration, water-separation, and coalescer equipment; no reliable source was found matching a particular Facet model to this DDG line, so the exact role cannot be confirmed.","https://www.highergov.com/subcontract/N0002418C2307-16098-0/
https://www.highergov.com/awardee/filtration-group-corporation-10007841/"
DDG|QYKAR7MJJXL7,DDG,QYKAR7MJJXL7,"MEGGITT SAFETY SYSTEMS, INC.",336412,Aircraft Engine and Engine Parts Manufacturing,TKJ1TW2YRNL3,MEGGITT PLC,PLYSMJBAYE42; TKJ1TW2YRNL3,Supplies ionization smoke detectors for DDG-51 fire/alarm systems; the Navy identifies Meggitt P/N SAS-04398-01 as the sole approved source for the class.,"https://sam.gov/opp/ae2c10b8860c45d3999282bdceccd24a/view
https://www.wbparts.com/rfq/6350-01-347-8915.html"
DDG|EV4ZGUNNKMJ6,DDG,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",336611,Ship Building and Repairing,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",EV4ZGUNNKMJ6,"Performs maintenance, repair, alterations, and fabrication on DDG-51-class ships during availabilities. Public records confirm DDG-class repair work but do not specify a new-construction component.","https://govtribe.com/vendors/pacific-ship-repair-fabrication-inc-dot-62739
https://govtribe.com/award/federal-contract-award/delivery-order-n0002418d4413-n4523a21f0570"
DDG|RMLGMBGNPCC8,DDG,RMLGMBGNPCC8,"KINGSBURY, INC.",333613,Mechanical Power Transmission Equipment Manufacturing,RMLGMBGNPCC8,"KINGSBURY, INC.",RMLGMBGNPCC8,"Supplies hydrodynamic thrust and journal bearings for DDG-51 propulsion shaft lines and rotating machinery. Public item data links a Kingsbury bearing-related assembly to the Arleigh Burke class, but the exact bearing set in this construction subaward is not disclosed.","https://www.kingsbury.com/marine/
https://www.parttarget.com/5330-01-513-4551_5330015134551_MID-7-511X561X22.html"
DDG|M4ANYAZ8Q6H8,DDG,M4ANYAZ8Q6H8,GEMS SENSORS INC.,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",QATEDMDR46E4,Fortive Corporation,QATEDMDR46E4,"Supplies tank liquid-level/quantity sensors, transmitters, receivers, and indicators for DDG-51 shipboard tanks and monitoring systems.","https://sam.gov/opp/f217d6eb8dbe4f34879112e6c02566c3/view
https://www.wbparts.com/rfq/6680-01-486-3871.html
https://www.highergov.com/idv/SPE4A620D0205/"
DDG|EVZMB1757DW5,DDG,EVZMB1757DW5,"STEELFAB, INC.",332312,Fabricated Structural Metal Manufacturing,EVZMB1757DW5,"STEELFAB, INC.",EVZMB1757DW5,"A DDG-51 subcontract is recorded for this UEI, but public sources reviewed do not identify the delivered item or work package. SteelFab is a structural-steel fabricator; without a source connecting a specific fabricated assembly to the DDG subaward, the role cannot be confirmed.","https://www.steelfab-inc.com/
https://app.g2xchange.com/companies/EVZMB1757DW5"
DDG|HWLGUR28KMS6,DDG,HWLGUR28KMS6,APPLETON MARINE INC,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",HWLGUR28KMS6,APPLETON MARINE INC,HWLGUR28KMS6,Supplies slewing-arm davits and deck machinery used to launch and recover small boats. Appleton is a Navy-contracted SLAD supplier; public sources reviewed do not identify the exact davit model or hull number covered by this listed DDG construction subaward.,"https://www.war.gov/News/Contracts/Contract/Article/606694/
https://quanticeng.com/contracts/"
DDG|C7QHHMJEALN1,DDG,C7QHHMJEALN1,"MONROE CABLE COMPANY, INC., THE",331420,"Copper Rolling, Drawing, Extruding, and Alloying",,,,"Supplies shipboard electrical wire and cable for DDG-51 construction, including low-smoke/zero-halogen Navy cable families such as MIL-DTL-24643, MIL-DTL-24640, and MIL-DTL-915. The DDG subcontract description is simply “Cable,” so the exact specification and circuit are not public.","https://www.highergov.com/awardee/the-monroe-cable-company-inc-10014620/
https://monroecableusa.com/"
DDG|PJRYS7EFXQD9,DDG,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",332911,Industrial Valve Manufacturing,,,,Supplies marine ball valves and inline/twinline check valves for DDG-51 piping systems; BNL’s own catalog lists DDG-51 among supported Navy ship classes.,https://www.bnl.com/files/2515/1795/4363/BNL_Catalog.pdf
DDG|JA2KCX21NL48,DDG,JA2KCX21NL48,"WARTSILA DEFENSE, INC.",336611,Ship Building and Repairing,GCWKULHML2S3,Wärtsilä Oyj Abp,GCWKULHML2S3,"This Chesapeake, Virginia Wartsila Defense entity is the U.S. engineering/manufacturing operation for naval shaft-line and propulsion products, including propellers and shaft, rudder, and stern-tube seals. Public sources support those product families, but do not identify the exact DDG-51 new-construction item in this subaward.","https://www.highergov.com/awardee/defense-maritime-solutions-inc-10119303/
https://govtribe.com/vendors/wartsila-defense-inc-dot-0eya6
https://www.wartsila.com/marine/products/propulsors-and-gears/seals-and-bearings"
DDG|H1PAVTLJBJ88,DDG,H1PAVTLJBJ88,TYCO FIRE PRODUCTS LP,339999,All Other Miscellaneous Manufacturing,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,XEQ3L57D2J24,"The Marinette, Wisconsin Tyco Fire Products entity manufactures fire-suppression equipment and agents, including valves, nozzles, sprinklers, and foam-system products. Its exact DDG-51 shipset item is not publicly identified, so the role can only be confirmed at the fire-protection-system component level.","https://govtribe.com/vendors/tyco-fire-products-lp-tyco-fire-protection-products-03670
https://www.tyco-fire.com/"
DDG|D2J1SSHB5EB7,DDG,D2J1SSHB5EB7,THE HELLAN STRAINER CO,336612,Boat Building,X99SLLWX4NV1,"Summa Holdings, Inc.",X99SLLWX4NV1,Supplies sediment-strainer elements and automatic backflushing strainers for DDG-51 fluid systems; NSN 4730-01-475-2135 identifies the Arleigh Burke class as an end product.,"https://www.highergov.com/nsn/4730014752135/
https://www.wbparts.com/rfq/4730-01-475-2135.html"
DDG|LFVJABJDQVZ9,DDG,LFVJABJDQVZ9,"W. & O. SUPPLY, INC.",423840,Industrial Supplies Merchant Wholesalers,GGSLGRB5KXM6,Pon Holdings B.V.,GGSLGRB5KXM6; HUYTR5ZGSSN6; MX63C2VRKCJ6,"Distributes marine valves, pipe/tube, fittings, strainers/filtration, and bulkhead-sealing products for DDG construction. Public item data links W&O-supplied demineralizer components to the Arleigh Burke class, but the exact material mix in this subaward is not disclosed.","https://www.highergov.com/subcontract/N0002418C2307-8899-0/
https://www.highergov.com/awardee/w-o-supply-inc-10409875/
https://www.parttarget.com/5330-01-469-6966_5330014696966_5346-040.html
https://www.census.gov/naics/2022NAICS/6-digit_2022_Codes.xlsx"
DDG|FLQJXSFMNQP6,DDG,FLQJXSFMNQP6,"LISTER CHAIN AND FORGE, INC.",332111,Iron and Steel Forging,GZKZJF8DBJJ2,"BRANFORD CASTLE, INC",FLQJXSFMNQP6; GZKZJF8DBJJ2; YN8EW4XM28Z1,Supplies forged Navy anchor chain and detachable connecting links/deck chain fittings for DDG-51 anchoring and mooring systems. The current DDG subcontract is documented; public sources do not disclose the chain size or grade.,"https://www.highergov.com/subcontract/N0002423C2307-19153-0/
https://www.shipserv.com/ShipServ/pages/profiles/200732/specsheets/0114SS0619w.pdf"
DDG|EDNNTCM7SUS8,DDG,EDNNTCM7SUS8,"IMIA, LLC",336611,Ship Building and Repairing,KZA5CX3J8KE8,CARLYLE HOLDING CORP,EDNNTCM7SUS8; KZA5CX3J8KE8,"Performs ship preservation—abrasive blasting, surface preparation, and application/removal of protective coatings—plus structural repair support for Navy vessels. Public sources do not identify the specific DDG-51 compartment or coating work package in this subaward.","https://www.imiallc.com/services/preservation/
https://www.imiallc.com/
https://www.virginiashiprepair.org/MemberProfile/81/IMIA-LLC"
DDG|MMDRDDVELDX8,DDG,MMDRDDVELDX8,DANTE VALVE COMPANY,332911,Industrial Valve Manufacturing,UNBUG7BAWZL3,DANTE VALVE COMPANY,UNBUG7BAWZL3,Supplies nonpowered shipboard valves—such as globe/stop/check and relief-valve assemblies and replacement parts—for DDG-51 fluid systems. Public NSN data identifies multiple Dante valve models with the Arleigh Burke class as the end item.,"https://www.parttarget.com/4820-01-221-2045_4820012212045_D50UU-06-1-1-4-IN.html
https://www.parttarget.com/4820-01-326-5839_4820013265839_BASAA05SBB-A030.html"
DDG|MDH6KH9D4SG7,DDG,MDH6KH9D4SG7,"ASCO POWER TECHNOLOGIES, L.P.",335313,Switchgear and Switchboard Apparatus Manufacturing,KSFXGBDLNG74,SCHNEIDER ELECTRIC SE,KSFXGBDLNG74; PG7AZJQMRL27; R51XFNJFGCP8,"Supplies automatic bus-transfer-switch assemblies and internal electrical parts, including power transformers and switch components, used in DDG-51 shipboard distribution. Public NSN records identify ASCO ABT components for the class.","https://www.parttarget.com/5950-01-483-6849_5950014836849_621552-001.html
https://www.parttarget.com/5999-01-513-9080_5999015139080_625604.html"
DDG|ZLM5NQE8LSR8,DDG,ZLM5NQE8LSR8,"IMECO, INC.",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,KN4DLHTLNCS8,"Octopus Industries, Inc.",KN4DLHTLNCS8,"IMECO’s Marinette operation engineers and integrates marine HVAC, electrical, and machinery packages. A Navy notice linked to this UEI identifies a motor-and-brake assembly, but public sources do not disclose which DDG-51 shipboard system the subaward supported.","https://app.g2xchange.com/companies/ZLM5NQE8LSR8
https://sam.gov/workspace/contract/opp/d3c56ec516cd4c89ac4f30d7b8eb6258/view
https://www.imeco.com/"
DDG|D44RA79E3K57,DDG,D44RA79E3K57,PRECISION PRODUCTS INC,332710,Machine Shops,,,,,
DDG|JU2ME5ZK8VL3,DDG,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,,,
DDG|XJTAAHL58NB6,DDG,XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",336611,Ship Building and Repairing,XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",XJTAAHL58NB6,,
DDG|WMXDDH6HJNA5,DDG,WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,336611,Ship Building and Repairing,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC.",F9SDJAZFTLG6,,
DDG|E3YNKWRANZ18,DDG,E3YNKWRANZ18,"AQUA-CHEM, INC.",332410,Power Boiler and Heat Exchanger Manufacturing,E3YNKWRANZ18,"AQUA-CHEM, INC.",E3YNKWRANZ18,,
DDG|PNLJW4UFU1A8,DDG,PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",PNLJW4UFU1A8,,
DDG|JRHJJRY6DWK3,DDG,JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",332321,Metal Window and Door Manufacturing,,,,,
DDG|GCUTMML7MHH3,DDG,GCUTMML7MHH3,South Florida Van Lines Inc,,n/a (no SAM record),,,,,
DDG|S1LJCH88WHT5,DDG,S1LJCH88WHT5,W.R. DAVIS ENGINEERING LIMITED,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,,,
DDG|NN7PCHZFNZP8,DDG,NN7PCHZFNZP8,GOODWIN STEEL CASTINGS LIMITED,331513,Steel Foundries (except Investment),RA8BS6AS7V54,,RA8BS6AS7V54,,
DDG|L2EDH4DX27J5,DDG,L2EDH4DX27J5,"WILLIAM E WILLIAMS, VALVE CORP",332911,Industrial Valve Manufacturing,L2EDH4DX27J5,WILLIAM E WILLIAMS VALVE CORP,L2EDH4DX27J5,,
DDG|H2VUYH8JMBY9,DDG,H2VUYH8JMBY9,CURTISS-WRIGHT FLOW CONTROL SERVICE CORPORATION,333995,Fluid Power Cylinder and Actuator Manufacturing,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,PF8PJNVEPTJ1,,
DDG|Z9P3GJBTJUT5,DDG,Z9P3GJBTJUT5,"METALS USA PLATES AND SHAPES, INC.",332313,Plate Work Manufacturing,CJCQB4PYB943,RELIANCE STEEL & ALUMINUM CO.,CJCQB4PYB943,,
DDG|FFZLXPAQCMD8,DDG,FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,332321,Metal Window and Door Manufacturing,FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,FFZLXPAQCMD8; JCAZB4Y7FTW2,,
DDG|C1B6X8AADFB1,DDG,C1B6X8AADFB1,"COMSACO, INC.",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,,,,
DDG|LGVPVLMRHH51,DDG,LGVPVLMRHH51,"W. & O. SUPPLY, INC.",423840,Industrial Supplies Merchant Wholesalers,MX63C2VRKCJ6,Houdstermaatschappij Wilg B.V.,GGSLGRB5KXM6; HUYTR5ZGSSN6; MX63C2VRKCJ6,,
DDG|F3XKPA82MHQ5,DDG,F3XKPA82MHQ5,"NAG, LLC",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",F3XKPA82MHQ5,"NAG, LLC",F3XKPA82MHQ5,,
DDG|NYGUEDY27AM8,DDG,NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,332911,Industrial Valve Manufacturing,J9V9SJL4CW97,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",J9V9SJL4CW97; PF8PJNVEPTJ1,,
DDG|QVTKQ7LJE196,DDG,QVTKQ7LJE196,M. T. DAVIDSON COMPANY,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",EYXEF9DML9L7,LIDGERWOOD MANUFACTURING COMPANY (INC),EYXEF9DML9L7,,
DDG|D3QEMKB2X4N5,DDG,D3QEMKB2X4N5,LEXAIR INC,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,,,
DDG|UK6NAHCH8459,DDG,UK6NAHCH8459,"CAROLINA POWER SYSTEMS OF SUMTER, INC.",335313,Switchgear and Switchboard Apparatus Manufacturing,,,,,
DDG|RJGEKQDTZKT8,DDG,RJGEKQDTZKT8,"ELECTRIC HEATER COMPANY, THE",333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,DD7KGPMP93C1,Heh Holdings LLC,DD7KGPMP93C1,,
DDG|Y9LLF354DH36,DDG,Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",Y9LLF354DH36,,
DDG|T4RCBDVMPVM4,DDG,T4RCBDVMPVM4,"MEGGITT DEFENSE SYSTEMS, INC.",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,TKJ1TW2YRNL3,MEGGITT PLC,PLYSMJBAYE42; TKJ1TW2YRNL3,,
DDG|ZJYJB7MBFE56,DDG,ZJYJB7MBFE56,CRANE PUMPS & SYSTEMS PFT CORP,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",VCFNC31LV829,CRANE CO,VCFNC31LV829,,
DDG|G7SQBKZNPRN4,DDG,G7SQBKZNPRN4,"ACCU-FAB AND CONSTRUCTION, INC.",332312,Fabricated Structural Metal Manufacturing,,,,,
DDG|NQKEVF8KEMP1,DDG,NQKEVF8KEMP1,PIVOTAL POWER INC,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,W8PTMRME1496,LEONARDO SPA,W8PTMRME1496,"Pivotal Power’s Bedford, Nova Scotia entity makes rugged military power-conversion and power-supply equipment. A Navy award to this exact UEI identifies a shipboard power supply for USS Decatur (DDG-73), providing a concrete DDG-51 application.","https://www.highergov.com/awardee/pivotal-power-inc-10107956/
https://govtribe.com/award/federal-contract-award/purchase-order-n0040624p0230"
DDG|GKPGD2F1LKL5,DDG,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",332111,Iron and Steel Forging,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",GKPGD2F1LKL5,"Despite the workbook label, this UEI resolves to Ellwood City Forge Company, a separate Ellwood plant that makes large open-die forgings, shafts, rotors, and other heavy steel components. I found no public source identifying which DDG-51 forging this site supplied.","https://www.highergov.com/awardee/ellwood-city-forge-company-10003769/
https://www.ellwoodcityforge.com/"
DDG|C6C8KS7Y1K76,DDG,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,C6C8KS7Y1K76,,
DDG|FYS6F3284LN3,DDG,FYS6F3284LN3,VELAN VALVE CORP.,,n/a (no SAM record),YY4YKPLKUJ55,,KH1WNH8NJR56; YY4YKPLKUJ55,,
DDG|NBM4G4SAFQM3,DDG,NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",334419,Other Electronic Component Manufacturing,X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, INC.",C2WJWFHRK5S7; X9C7KVWCMQJ6,,
DDG|HMBSX7Z72UK4,DDG,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",326291,Rubber Product Manufacturing for Mechanical Use,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,JQTLH33SXNQ7; SFBKRA9THBA3,,
DDG|ZU51LS7JZ8L5,DDG,ZU51LS7JZ8L5,"FCX SYSTEMS, INC.",335311,"Power, Distribution, and Specialty Transformer Manufacturing",,,,,
DDG|JR3NDKLB4BH9,DDG,JR3NDKLB4BH9,PACIFIC MARINE SYSTEMS CORP,,n/a (no SAM record),K8E4CQYCRJ25,ADVANCED STRUCTURES CORPORATION,K8E4CQYCRJ25,,
DDG|VGCPT3NSM831,DDG,VGCPT3NSM831,HII FLEET SUPPORT GROUP LLC,541330,Engineering Services,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC",F9SDJAZFTLG6,,
DDG|LCYTE2L5JEP4,DDG,LCYTE2L5JEP4,NAVAL ENGINEERING SUPPORT INC.,336611,Ship Building and Repairing,Q5DRWXKQP299,NAVAL ENGINEERING SUPPORT INC,Q5DRWXKQP299,,
DDG|K84MXRVQ8BW5,DDG,K84MXRVQ8BW5,"PACIFIC SHIPYARDS INTERNATIONAL, LLC",336611,Ship Building and Repairing,,,,,
DDG|K3URF4HUNQS5,DDG,K3URF4HUNQS5,"GLOBAL, INCORPORATED",332912,Fluid Power Valve and Hose Fitting Manufacturing,,,,,
DDG|JNC1BUEVV3B9,DDG,JNC1BUEVV3B9,"JGILS, LLC",425120,Wholesale Trade Agents and Brokers,,,,,
DDG|QEP4TKLKQDV3,DDG,QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",334419,Other Electronic Component Manufacturing,QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",QEP4TKLKQDV3,,
DDG|KH1SMVPKSHY4,DDG,KH1SMVPKSHY4,GREAT LAKES SOUND & VIBRATION INC,541330,Engineering Services,KH1SMVPKSHY4,"GREAT LAKES SOUND & VIBRATION, INC.",KH1SMVPKSHY4,,
DDG|VDGQNU1VJC64,DDG,VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,332410,Power Boiler and Heat Exchanger Manufacturing,,,,,
